Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:4 THR:2.0 hard,P7-O1,4.017505567113456,2.7576499838710306e-05,2.1383826849740646,0.8698221067786168,49.925268370885526
DB4 LVL:4 THR:2.0 hard,FP1-F3,5.429064203418194,3.091455117969336e-05,1.2382204720083632,0.9012252892676984,44.03336482443275
DB4 LVL:4 THR:2.0 hard,F3-C3,6.939357871497803,1.9844532179116725e-05,1.8739828281448958,0.9222515711345327,39.02760393828922
DB4 LVL:4 THR:2.0 soft,FP1-F7,4.981667985945013,3.21002991583817e-05,1.1641773179944348,0.8987617152359011,44.97566964354928
DB4 LVL:4 THR:2.0 soft,F7-T7,5.319482268738318,2.3223042243267452e-05,1.8186175917703735,0.9031000024879936,43.91918537561057
DB4 LVL:4 THR:2.0 soft,T7-P7,3.595099754614448,3.0303876006688136e-05,2.3698284437558397,0.8658329629442703,50.927723512130676
DB4 LVL:4 THR:2.0 soft,P7-O1,3.91974080334325,2.768925740882271e-05,2.147126319479472,0.8690969306510558,50.12940783679441
DB4 LVL:4 THR:2.0 soft,FP1-F3,5.339888448252072,3.105482392125727e-05,1.243838815915722,0.9006113978251234,44.23316331959137
DB4 LVL:4 THR:2.0 soft,F3-C3,6.83196036761525,1.99805698054024e-05,1.8868292975572223,0.9213500190200938,39.29514476774598
DB4 LVL:4 THR:3.0 hard,FP1-F7,5.050852815899848,3.2021264125692065e-05,1.1613109648825761,0.8988431366708897,44.8649338057623
DB4 LVL:4 THR:3.0 hard,F7-T7,5.710680596647501,2.286253948763695e-05,1.7903862925976133,0.9043384333793233,43.23740616739574
DB4 LVL:4 THR:3.0 hard,T7-P7,3.8888498707764088,3.005090305118125e-05,2.3500454131848034,0.8664219404687039,50.502585264757386
